Crossing,Finishing,HeadingAccuracy,ShortPassing,FKAccuracy,LongPassing,BallControl,SprintSpeed,Agility,Reactions,ShotPower,Stamina,Vision,Composure,Preferred Foot,Overall
64,75,71,71,45,63,75,73,78,71,78,71,71,59,1,75
76,48,65,74,59,69,74,79,71,69,68,77,55,75,0,75
66,74,60,72,66,47,74,91,90,74,76,85,66,68,1,75
78,60,40,78,76,70,78,79,79,70,76,73,72,78,0,75
70,48,64,67,44,64,67,69,65,69,67,68,58,71,0,74
64,80,71,66,56,57,73,73,65,55,76,62,65,66,1,74
60,44,66,71,54,75,76,66,72,68,69,77,66,63,1,74
67,72,58,71,56,59,72,85,82,68,69,66,74,54,1,74
45,44,75,66,55,62,55,53,55,71,54,61,45,67,1,74
57,44,71,70,32,58,68,54,55,70,45,63,40,66,1,74
66,62,70,77,58,73,74,67,72,68,78,78,68,72,1,74
71,72,68,66,65,64,73,83,84,74,79,79,62,75,1,74
73,45,63,71,56,55,70,73,81,74,58,86,52,66,1,74
42,48,83,57,26,48,55,55,32,74,75,60,42,70,1,74
46,74,78,77,50,72,71,68,63,75,78,74,64,81,1,74
44,76,79,66,32,56,74,53,61,62,77,71,57,68,1,74
39,21,76,69,32,51,34,61,49,64,51,50,26,71,1,74
79,66,50,73,83,74,74,62,71,76,80,61,78,69,1,74
49,53,75,76,52,72,72,55,65,69,53,82,61,72,1,74
66,76,71,73,70,67,73,57,73,72,75,81,73,75,1,74
15,11,11,49,11,35,23,55,55,65,24,37,40,50,1,74
86,46,60,78,76,77,77,69,76,72,72,68,70,78,0,74
59,64,57,77,65,78,73,58,64,74,63,65,72,64,1,74
12,13,12,28,11,30,20,37,43,72,24,30,34,55,1,74
70,72,69,74,70,70,71,64,63,75,72,72,76,72,1,74
64,32,71,65,35,65,60,54,47,74,47,80,60,75,1,74
64,71,64,70,81,59,74,80,84,74,76,79,68,73,1,74
69,66,65,70,31,62,73,86,90,73,60,75,64,76,1,74
20,20,13,45,19,45,30,36,42,70,17,32,48,54,1,74
71,66,40,68,34,56,75,89,92,70,62,86,69,74,1,74
67,29,64,65,22,60,61,66,40,68,60,79,49,70,1,74
18,14,18,38,15,42,28,30,36,71,25,42,50,50,1,74
45,26,73,65,26,63,61,52,57,70,52,72,47,64,0,74
42,65,73,76,71,77,70,76,68,82,82,77,63,69,1,74
54,74,72,67,26,62,72,78,61,65,75,74,63,69,1,74
54,33,73,68,44,61,63,72,72,67,36,67,49,73,1,74
58,77,75,62,62,52,72,75,70,72,72,60,56,69,1,74
24,51,65,67,26,71,71,46,33,68,57,69,35,65,1,74
63,73,66,68,51,59,75,92,83,65,74,66,72,77,1,74
43,79,75,65,55,36,74,55,61,73,75,67,62,77,1,74
39,37,77,65,43,58,43,55,40,70,56,60,33,79,1,74
72,71,59,79,55,74,77,76,68,75,75,75,75,67,0,74
61,56,75,71,59,74,68,67,62,70,74,75,67,71,0,74
71,68,58,68,65,63,75,87,85,70,76,58,73,66,1,74
56,59,59,75,60,74,72,64,60,74,83,70,66,72,1,74
51,77,80,69,48,57,72,64,54,68,78,77,63,76,1,74
67,67,74,74,56,77,75,59,57,73,85,70,71,75,1,74
61,75,62,67,59,63,77,86,83,70,77,67,72,67,0,74
52,61,62,74,46,72,70,69,62,72,72,78,58,68,1,74
73,48,55,70,70,63,73,75,74,70,79,78,60,66,0,74
73,32,64,71,46,62,74,75,71,69,69,78,39,64,1,74
75,64,55,71,69,64,74,85,88,69,68,81,69,67,1,74
18,18,12,29,17,13,23,43,43,63,25,31,53,62,1,74
60,60,70,74,55,72,80,65,54,68,74,76,68,64,1,74
69,61,55,76,74,72,76,63,66,75,78,77,72,63,0,74
31,34,72,66,28,68,50,73,68,70,51,77,35,57,1,74
42,52,66,74,48,68,72,69,47,70,68,84,68,71,1,74
66,68,44,73,49,65,78,76,90,63,65,60,76,76,0,74
33,43,79,58,32,60,67,66,62,70,47,74,60,65,1,74
41,31,75,65,39,67,61,68,64,69,52,61,54,65,0,74
42,34,67,77,41,67,68,59,59,65,58,79,59,66,1,74
70,58,62,70,58,65,71,86,84,68,74,92,65,67,1,74
59,72,47,75,64,60,75,66,76,74,60,67,76,79,1,74
74,58,58,77,75,82,75,55,68,69,77,69,76,69,1,74
73,46,62,73,41,72,70,74,66,73,78,81,70,74,1,74
65,64,47,70,58,62,74,88,88,72,72,68,70,64,0,74
73,60,69,71,35,55,73,74,64,69,55,76,56,67,1,74
13,20,12,22,14,32,32,41,58,64,38,18,40,61,1,74
14,11,10,23,16,23,20,45,40,70,25,38,40,60,1,74
65,63,52,77,66,70,77,75,88,72,64,78,79,78,1,74
68,41,64,68,54,62,68,78,73,74,70,76,60,72,1,74
59,49,65,75,47,71,74,66,70,69,61,91,66,80,1,74
51,63,59,71,46,68,72,74,79,72,69,92,70,63,1,74
75,41,60,67,40,72,74,78,70,69,65,86,66,67,1,74
22,16,76,55,18,55,55,53,59,65,59,30,28,74,1,74
69,71,58,75,51,68,77,74,77,72,76,72,65,72,1,74
34,35,80,74,55,70,54,33,48,75,74,70,46,63,1,74
80,58,44,74,71,68,72,75,68,79,70,77,50,65,0,74
27,22,73,57,33,56,59,55,42,70,55,56,19,64,1,74
70,69,66,73,75,74,75,72,66,76,68,74,77,82,1,74
48,60,62,76,58,72,73,77,73,68,71,76,76,75,0,74
72,65,59,78,66,75,75,73,81,74,74,72,76,73,0,74
62,33,68,78,59,76,76,54,67,72,70,76,74,72,0,74
70,67,42,74,77,72,76,66,75,66,76,62,76,68,1,74
63,69,75,65,42,40,74,86,73,71,76,75,60,64,1,74
76,65,66,73,66,74,75,72,67,75,75,80,76,72,0,74
58,72,79,70,62,49,75,59,64,74,77,65,68,62,1,74
49,34,65,75,33,69,70,44,48,74,66,87,64,72,1,74
73,45,68,70,46,69,69,73,64,72,55,81,70,68,0,74
67,74,68,66,85,46,69,80,79,72,81,72,64,68,0,74
55,59,67,75,42,68,69,69,63,63,67,81,63,73,1,74
12,13,16,24,14,23,13,56,61,74,22,30,36,65,1,74
49,76,78,73,49,59,74,54,60,73,78,72,64,68,1,74
68,64,49,71,60,64,74,84,83,71,69,66,67,68,1,74
70,58,63,76,41,74,77,74,74,76,72,76,71,72,1,74
73,55,70,69,56,67,69,77,70,72,60,79,55,72,0,74
32,32,76,57,28,67,56,43,37,67,52,79,51,56,0,74
69,29,71,73,65,69,72,68,71,75,70,69,59,74,1,74
68,75,72,67,63,59,72,80,83,68,74,75,67,69,1,74
62,51,62,78,38,74,79,69,72,62,78,78,71,80,0,74
62,78,57,68,61,61,75,86,88,66,75,82,66,74,1,74
69,74,66,72,46,64,67,94,90,77,75,76,60,71,1,74
67,36,64,62,65,52,69,88,81,68,61,83,46,59,0,74
58,40,78,67,46,64,56,52,56,69,20,79,45,69,1,74
73,72,63,74,43,69,76,77,82,70,72,62,73,63,1,74
64,68,61,76,64,68,74,76,82,72,74,84,74,71,1,74
49,35,69,74,35,78,69,73,69,73,56,80,60,76,0,74
32,78,71,64,33,54,74,69,71,73,70,66,58,74,0,74
58,24,72,68,24,66,69,74,59,74,55,78,60,71,1,74
57,59,71,73,62,69,68,34,56,73,71,72,68,70,1,74
73,73,42,72,42,67,75,72,73,65,73,69,72,65,0,74
43,23,76,69,36,68,56,37,47,70,25,66,58,67,1,74
72,46,57,72,36,63,68,75,89,71,51,78,59,66,1,74
23,13,13,29,14,26,14,47,40,67,24,32,45,54,1,74
25,15,14,29,20,27,30,63,66,71,37,40,31,54,1,74
68,65,63,76,56,68,77,69,85,75,77,65,72,75,0,74
74,66,57,77,78,71,72,68,79,71,71,88,76,68,0,74
68,68,39,66,76,62,76,81,77,68,80,71,70,71,0,74
71,51,71,69,49,66,71,71,72,73,55,82,51,67,1,74
46,56,52,74,59,71,69,75,75,72,72,86,62,68,1,74
60,40,70,77,42,72,62,66,62,67,50,69,48,70,1,74
45,55,67,76,55,69,77,65,73,72,59,69,68,76,1,74
57,22,78,71,43,63,64,60,61,63,67,68,48,72,1,74
67,71,35,68,50,64,77,79,87,72,74,77,70,71,1,74
51,36,75,74,73,74,67,66,43,64,60,59,59,71,1,74
59,53,65,74,59,76,68,46,48,76,69,74,67,74,1,74
73,63,63,72,70,72,72,81,80,74,64,77,62,76,0,74
42,39,72,69,34,66,66,71,71,68,67,75,61,71,1,74
57,60,45,75,55,67,74,74,80,68,80,80,71,61,0,74
41,41,76,66,40,70,55,41,33,64,72,61,43,64,1,74
55,77,72,67,42,36,70,81,69,68,78,71,65,67,1,74
64,57,52,75,50,72,77,75,89,75,74,76,74,76,1,74
73,72,42,74,75,75,73,56,78,76,74,68,75,83,1,74
67,70,56,74,56,69,77,78,72,73,70,78,68,69,1,74
37,22,65,64,35,58,66,69,43,75,44,55,52,58,1,74
14,12,13,33,14,22,19,42,48,72,24,41,31,41,1,74
30,32,70,58,34,62,58,50,40,68,62,55,44,69,0,74
64,53,66,70,59,68,72,85,77,71,74,85,62,61,1,74
44,32,68,71,37,69,66,66,64,74,73,83,57,68,1,74
69,66,36,71,72,67,70,86,94,65,67,69,67,63,1,74
66,66,55,74,55,72,75,66,77,71,84,75,76,69,1,74
26,23,74,71,25,70,63,54,56,67,40,82,42,67,1,74
74,58,55,73,55,69,73,73,75,70,68,75,68,63,1,74
37,36,73,72,23,62,65,54,54,67,43,53,52,55,1,74
52,47,69,73,42,70,70,58,56,67,36,72,52,62,1,74
49,43,73,53,45,71,63,77,64,73,57,41,47,70,1,74
75,64,53,80,73,77,79,59,69,68,73,58,72,64,1,74
60,78,64,70,55,59,71,70,74,76,74,71,69,66,1,74
62,71,65,67,62,55,70,82,75,70,79,85,57,69,1,74
64,69,44,67,38,47,78,81,93,66,67,64,64,64,0,74
80,51,68,72,38,70,72,79,71,67,64,75,64,62,0,74
27,76,82,64,47,49,72,46,49,73,83,63,55,67,1,74
65,66,51,75,71,74,80,65,76,70,78,78,74,72,1,74
58,73,73,59,67,47,76,65,65,68,85,77,58,65,1,74
55,70,67,78,72,76,72,65,65,75,66,69,71,74,1,74
70,69,56,73,74,60,72,80,70,72,81,59,72,66,1,74
41,25,70,56,31,50,56,69,52,72,59,56,31,66,1,74
71,74,61,72,71,68,77,64,67,72,77,71,74,78,1,74
39,33,72,69,49,65,50,54,69,73,54,56,51,75,1,74
68,64,74,75,65,74,73,68,67,72,75,79,70,71,1,74
58,49,59,76,50,72,74,59,59,65,69,75,63,75,1,74
62,78,76,75,65,74,78,34,65,77,75,50,78,86,1,74
75,66,54,78,82,76,75,70,71,62,66,85,79,61,0,74
49,32,78,67,23,66,62,65,52,68,69,66,61,69,1,74
77,59,62,77,80,78,76,66,76,65,72,84,74,64,0,74
56,72,72,73,76,73,71,54,65,79,78,91,69,71,1,74
64,57,69,72,34,63,67,87,73,68,69,70,61,67,1,74
75,59,58,73,40,72,71,87,90,66,71,69,66,62,1,74
12,12,18,34,12,35,23,42,43,73,25,35,45,62,1,74
24,30,75,65,20,54,63,60,52,70,59,73,34,65,0,74
70,64,53,72,66,62,76,76,78,74,64,74,68,68,1,74
74,32,69,66,37,68,72,74,65,67,72,77,59,66,0,74
67,67,43,80,67,73,75,79,90,66,68,62,75,82,0,74
76,41,53,75,36,66,73,77,78,75,74,78,58,68,0,74
78,61,61,79,73,79,74,34,67,72,65,66,78,75,1,74
71,64,42,75,69,60,74,75,86,80,59,68,74,74,1,74
70,50,60,68,50,62,70,87,76,70,64,79,60,70,1,74
30,75,82,63,44,46,71,58,53,71,80,54,59,76,1,74
74,61,51,72,75,61,71,71,72,77,57,66,77,66,1,74
66,44,68,70,57,66,71,65,64,74,67,65,58,75,1,74
76,60,54,79,82,71,82,67,74,64,81,65,76,74,0,74
76,73,60,79,83,73,80,63,71,66,86,72,74,70,1,74
71,62,46,78,73,77,76,65,74,65,69,75,74,68,1,74
75,72,77,73,76,64,75,69,71,70,72,72,76,76,0,74
58,45,74,67,25,68,55,74,67,74,61,75,62,70,1,74
68,32,66,66,60,60,65,72,70,65,67,68,33,67,1,74
73,62,61,75,72,61,75,65,66,82,77,71,76,74,1,74
65,64,48,74,69,71,78,75,78,73,67,55,75,71,1,74
70,70,62,69,60,67,77,85,89,69,70,77,71,67,1,74
58,76,62,64,59,58,72,83,89,73,76,68,70,69,1,74
66,73,69,64,66,62,68,79,73,71,81,82,71,78,0,74
71,71,59,74,75,68,75,75,74,68,74,87,71,64,1,74
56,21,80,64,43,54,59,48,49,60,75,43,51,65,1,74
62,74,72,70,60,54,76,66,78,75,69,67,74,78,0,74
74,44,75,72,47,66,74,68,66,77,69,69,64,79,1,74
66,73,64,69,44,59,77,84,79,67,73,74,66,63,1,74
46,51,75,69,68,63,60,59,60,71,73,66,50,60,0,74
65,54,53,74,76,68,66,62,61,68,82,83,77,66,1,74
61,71,58,75,73,68,77,76,79,76,73,73,66,68,0,74
76,39,50,75,32,63,74,92,74,67,49,77,48,58,1,74
72,53,69,76,57,76,69,74,81,79,58,82,76,67,1,74
52,56,79,73,51,72,71,73,56,66,80,78,64,70,1,74
42,73,76,71,52,53,73,56,67,67,86,60,65,74,0,74
14,10,14,25,16,20,17,42,60,75,22,38,17,64,1,74
61,74,73,61,56,52,71,83,81,77,70,59,55,77,1,74
76,35,65,73,30,67,75,81,69,70,58,72,58,71,1,74
67,53,68,78,71,75,76,68,73,69,73,85,68,69,1,74
68,60,40,74,67,64,79,81,89,70,73,89,72,66,1,74
76,32,48,75,66,64,76,82,78,74,76,76,50,63,1,74
74,29,60,74,35,70,74,68,67,72,58,69,65,68,0,74
75,58,52,75,51,65,73,86,78,74,67,82,69,74,0,74
86,51,65,77,80,79,69,42,67,67,85,65,74,69,1,74
31,76,76,60,52,41,70,74,62,66,76,72,56,69,0,74
74,42,63,74,49,68,71,66,67,75,66,67,60,79,1,74
51,74,70,67,53,52,61,78,69,75,81,61,51,65,1,74
76,69,48,69,49,64,75,77,67,62,75,75,69,62,1,74
61,31,73,60,48,54,55,69,68,62,68,69,48,66,1,74
75,34,61,69,60,69,70,86,72,76,61,74,65,73,1,74
52,75,67,64,48,58,73,93,90,70,69,75,53,58,1,74
39,80,67,61,65,37,73,71,67,71,68,86,42,68,0,74
65,69,45,61,66,55,77,92,91,72,76,78,60,73,1,74
20,16,16,31,13,25,25,43,59,68,19,44,52,25,1,74
74,68,40,71,59,42,75,91,80,70,65,53,70,71,1,74
46,26,70,71,32,70,71,69,62,69,38,62,42,70,1,74
14,9,17,38,11,38,25,41,46,69,20,45,52,53,1,74
69,74,78,77,54,71,73,69,63,73,75,90,69,64,1,74
66,24,54,74,59,64,68,79,76,70,63,94,65,75,0,74
72,54,62,76,49,72,78,77,72,70,72,77,72,70,1,74
35,17,64,70,23,62,66,84,65,68,34,65,41,66,1,74
56,23,72,62,25,59,59,58,31,67,43,52,51,67,1,74
55,67,71,67,54,54,70,84,66,73,86,71,62,74,1,74
71,55,69,72,42,74,73,71,61,81,64,85,76,81,0,74
73,41,60,72,64,69,72,74,78,70,62,78,62,68,1,74
71,72,65,73,74,70,76,81,80,71,71,83,72,73,0,74
74,51,60,71,54,66,72,75,80,78,71,72,63,74,1,74
69,57,68,74,63,70,74,75,76,71,74,91,70,73,1,74
70,74,69,73,73,69,74,76,79,72,75,69,72,72,1,74
75,41,57,71,43,66,77,84,87,67,77,77,63,64,1,74
72,73,70,72,73,54,76,82,67,70,83,72,66,69,1,74
75,59,67,69,51,68,71,78,71,69,70,90,63,73,1,74
71,66,23,74,68,70,75,77,83,67,60,60,72,66,0,74
32,77,71,66,40,64,72,78,75,67,75,71,57,68,1,74
75,60,63,77,77,73,77,61,77,71,74,50,80,79,0,74
69,72,74,69,70,60,74,75,76,73,73,77,69,74,1,74
39,53,81,66,52,59,61,41,35,71,64,63,41,69,0,74
64,77,80,65,47,55,72,37,63,70,78,70,58,75,0,74
19,14,16,30,18,21,23,35,67,72,16,31,69,66,1,74
35,38,77,67,55,67,50,64,43,70,63,62,32,63,1,74
12,11,11,25,19,34,18,39,40,69,21,31,40,63,1,74
13,14,15,34,13,27,28,35,57,73,23,25,53,51,0,74
56,76,73,69,55,55,72,73,75,68,75,72,68,72,1,74
62,67,55,75,70,76,72,66,78,74,75,74,77,78,1,74
71,50,46,77,68,75,80,73,77,72,58,74,77,72,1,74
61,32,80,66,31,52,62,72,51,64,44,81,47,65,1,74
65,70,57,77,64,75,78,72,76,66,64,57,65,62,1,74
74,50,60,70,35,66,73,85,84,66,68,78,60,74,1,74
61,46,67,78,61,76,75,58,58,71,61,77,71,75,1,74
59,65,55,74,75,72,77,78,75,71,70,71,72,71,0,74
76,70,54,76,76,59,76,77,64,74,52,48,73,71,1,74
48,58,61,80,52,76,76,66,61,72,78,68,69,72,1,74
30,39,77,60,24,70,56,47,46,73,44,76,40,64,1,74
77,64,60,77,75,78,72,68,68,77,79,75,76,69,0,74
75,60,55,72,61,63,72,75,78,69,72,80,72,68,1,74
71,38,74,67,38,68,61,55,52,65,56,65,40,68,0,74
40,58,63,75,52,76,74,73,67,68,70,75,69,68,1,74
71,68,57,68,50,60,69,93,83,78,65,70,69,64,0,74
72,64,43,70,60,58,73,82,81,81,63,76,71,68,1,74
71,74,73,73,55,51,73,71,69,73,73,72,75,72,1,74
65,27,70,64,32,59,68,54,63,82,37,70,63,70,1,74
67,75,73,68,62,59,72,72,63,73,76,69,65,72,0,74
71,61,63,76,63,67,80,75,73,66,65,66,74,75,1,74
21,12,14,32,21,49,20,65,64,59,49,45,52,55,1,74
62,46,54,71,65,70,67,71,73,72,76,80,69,75,1,74
78,26,70,69,35,68,69,75,63,69,59,86,58,72,0,74
75,67,48,76,67,65,77,69,74,77,76,65,75,82,1,74
77,61,64,69,70,66,74,82,89,70,67,79,68,71,0,74
65,59,69,77,58,73,75,61,65,74,72,84,69,78,1,74
56,45,55,73,50,71,68,76,66,63,65,80,54,68,1,74
74,57,71,75,76,73,75,67,77,78,71,67,75,72,0,74
29,18,74,48,28,42,48,79,63,65,40,78,23,63,1,74
74,73,42,79,35,77,78,66,82,63,58,67,66,62,0,74
69,32,74,73,56,62,71,67,62,70,51,79,65,66,0,74
76,49,68,75,59,68,74,67,70,77,59,64,64,70,0,74
50,36,63,76,36,70,70,52,43,70,55,75,34,66,1,74
59,40,76,69,34,52,57,74,65,70,22,65,44,66,1,74
77,42,73,78,51,66,76,74,72,64,58,73,51,65,0,74
51,77,73,64,40,35,73,75,72,68,74,76,52,69,1,74
29,47,71,68,69,67,60,35,30,68,76,45,59,72,1,74
54,76,74,69,51,62,71,61,62,75,70,69,73,73,1,74
54,39,69,77,49,73,76,59,73,75,49,83,66,71,1,74
48,30,73,67,40,52,64,61,63,69,53,60,55,73,0,74
70,61,56,78,58,73,76,70,76,71,77,86,72,74,1,74
72,71,47,77,80,77,78,70,88,70,59,65,69,61,1,74
68,78,62,70,73,71,78,69,72,65,78,47,75,75,1,74
36,79,76,63,40,43,67,64,55,62,77,55,44,69,1,74
43,37,74,60,52,64,58,38,45,67,30,50,31,66,0,74
67,59,47,78,69,71,73,69,69,74,62,76,73,68,1,74
28,37,78,64,41,55,65,78,70,71,72,71,33,72,0,74
73,48,69,71,34,70,73,80,72,74,68,76,63,62,1,74
40,50,73,63,41,62,60,70,63,69,64,70,56,71,1,74
72,32,62,67,27,69,68,68,63,72,51,76,59,69,1,74
18,10,13,33,11,31,24,56,52,68,24,32,43,62,1,74
68,49,71,72,43,60,66,72,65,69,62,76,35,67,0,74
70,65,54,67,73,67,75,86,73,71,73,72,66,69,1,74
77,72,54,76,75,74,76,69,77,74,78,76,76,67,1,74
68,69,36,73,65,70,74,70,70,72,76,60,74,70,1,74
57,72,58,78,63,73,74,74,69,77,70,90,74,72,1,74
65,78,67,68,42,67,77,78,77,68,74,78,55,69,1,74
59,77,71,61,33,55,70,81,70,67,75,74,64,80,1,74
66,62,54,71,56,65,76,90,87,77,68,66,69,68,0,74
33,74,75,67,27,32,70,70,55,79,63,74,49,68,1,74
21,13,15,25,15,28,22,54,55,63,22,25,40,37,0,74
77,59,61,75,49,67,75,78,72,75,69,76,55,58,0,74
58,22,70,59,67,53,61,68,66,70,57,73,39,65,1,74
72,46,72,74,51,69,71,65,69,72,60,71,66,70,1,74
11,12,20,29,20,18,20,44,70,70,49,29,48,57,1,74
75,33,64,77,51,72,78,53,66,82,65,55,68,78,1,74
67,72,47,77,75,71,76,52,78,72,73,68,75,67,1,74
75,66,62,68,70,58,73,83,81,67,65,70,70,74,1,74
59,46,70,72,37,69,63,65,66,67,70,76,47,59,1,74
76,62,68,74,69,70,74,87,72,65,70,86,71,72,1,74
56,52,72,75,55,67,75,66,67,77,73,83,74,68,1,74
55,22,68,60,32,59,60,62,46,74,27,73,37,62,0,74
57,27,77,63,22,61,65,52,58,75,47,61,58,64,1,74
30,22,78,53,27,47,54,46,54,69,52,59,31,57,1,74
69,36,66,68,31,61,69,85,70,72,30,79,56,62,1,74
67,72,61,72,71,69,73,74,79,68,68,69,73,77,1,74
64,75,51,70,71,61,76,73,85,69,70,68,69,73,1,74
45,76,60,70,40,35,73,79,82,70,73,79,70,70,1,74
54,74,76,70,58,52,72,73,67,72,72,69,64,66,1,74
70,70,77,67,42,61,75,83,77,75,75,79,67,74,0,74
73,57,46,75,52,67,69,84,78,69,64,85,72,70,0,74
69,70,67,73,54,65,73,84,83,70,71,75,72,73,1,74
68,64,55,77,83,76,77,65,70,65,82,58,74,70,1,74
74,27,64,63,30,64,71,76,50,71,74,79,54,67,1,74
70,67,64,71,68,64,73,87,85,74,80,77,63,67,1,74
48,74,80,66,55,55,72,67,65,71,80,63,62,74,0,74
20,16,11,22,12,35,26,44,47,72,17,34,58,55,1,74
69,71,41,71,60,68,75,76,79,65,80,67,71,72,1,74
67,49,61,67,70,63,70,72,72,75,62,91,66,73,0,74
70,66,59,75,71,74,74,68,85,74,77,69,73,68,1,74
69,66,58,72,62,64,79,85,89,73,65,49,70,72,1,74
72,68,49,73,69,71,74,83,90,70,57,63,77,74,0,74
68,73,72,68,76,62,75,76,79,71,75,72,68,69,1,74
70,65,54,74,74,67,78,90,76,64,65,52,68,68,1,74
28,17,72,62,27,45,48,66,40,74,34,64,31,68,1,74
68,67,28,77,59,68,74,65,81,70,65,69,76,74,1,74
65,73,48,72,67,65,73,76,72,74,72,72,77,72,1,74
62,77,72,65,60,46,69,75,77,69,72,70,53,64,1,74
55,51,73,68,50,72,62,55,54,79,43,62,47,70,0,74
76,61,49,74,73,77,75,61,67,70,79,77,76,68,1,74
57,31,75,61,36,49,56,64,53,60,48,72,32,66,1,74
43,75,83,66,55,51,69,64,60,64,75,67,53,60,1,74
48,61,56,70,45,68,68,76,73,69,81,85,67,72,1,74
61,73,70,67,58,60,72,83,76,70,72,74,63,70,1,74
70,70,61,71,55,67,77,82,69,71,67,69,70,64,1,74
53,72,73,68,67,43,71,74,73,72,80,78,65,69,1,74
70,69,53,74,75,73,77,74,75,71,73,83,74,74,0,74
74,67,46,77,75,72,78,64,74,71,74,47,72,76,1,74
58,42,73,73,46,65,69,69,59,70,73,84,72,75,1,74
63,38,78,73,62,70,67,40,42,66,67,62,48,69,0,74
59,46,68,72,49,63,71,66,60,65,52,65,54,66,1,74
74,61,74,73,62,73,74,69,66,72,71,78,70,78,1,74
33,44,81,54,39,63,65,70,65,66,58,72,31,72,1,74
62,74,54,72,39,58,78,78,90,76,74,78,64,74,1,74
53,49,73,79,43,79,73,64,65,77,64,74,73,79,0,74
63,64,56,77,55,70,78,63,72,73,75,86,75,62,1,74
65,76,70,64,41,48,79,88,83,74,75,67,57,59,1,74
36,20,74,60,19,57,59,64,52,70,44,70,48,71,1,74
14,10,14,31,15,29,20,34,31,73,21,39,58,60,0,74
11,13,19,26,11,38,22,49,45,64,21,45,49,56,1,74
56,80,75,68,60,48,73,65,67,68,75,54,60,76,1,74
44,34,81,60,38,49,54,31,29,68,47,51,46,68,1,74
70,22,60,66,40,60,68,75,78,73,47,78,44,70,1,74
71,61,66,69,49,70,73,77,78,73,56,82,69,74,1,74
50,70,77,70,48,29,77,71,54,70,81,65,62,71,1,74
49,74,72,67,56,43,70,84,78,67,74,76,58,71,1,74
69,54,42,67,64,64,72,86,88,76,68,85,68,70,0,74
15,12,39,33,11,41,21,38,52,69,21,26,53,65,1,74
63,62,31,70,60,58,76,85,89,77,73,69,68,66,1,74
74,65,54,74,55,71,72,83,84,66,72,82,50,65,0,74
63,74,48,70,72,67,76,76,77,69,83,66,62,66,0,74
59,67,69,68,63,66,73,64,57,78,71,91,70,80,1,74
68,66,65,78,57,72,73,54,62,70,71,73,73,77,1,74
71,62,60,69,73,62,75,82,83,71,74,77,70,70,0,74
69,74,61,74,41,54,75,85,76,75,77,72,68,66,1,74
74,56,72,72,68,68,56,53,66,74,73,83,58,70,0,74
72,67,37,75,70,74,73,61,71,74,72,77,73,67,0,74
64,73,46,73,65,69,74,75,66,72,68,79,71,77,1,74
9,9,9,16,19,15,21,42,32,68,21,31,72,62,1,74
76,53,75,74,51,65,74,68,63,69,71,69,60,60,1,74
64,73,80,66,42,51,69,75,74,73,75,78,61,71,1,74
40,53,73,67,29,63,63,65,41,65,75,63,43,68,0,74
60,56,68,76,45,70,77,72,68,73,73,76,71,70,1,74
62,55,62,73,65,72,73,69,76,70,78,79,67,76,1,74
75,45,64,75,68,72,75,74,68,69,78,74,49,70,0,74
76,48,60,70,55,66,74,68,69,70,68,73,58,68,0,74
11,12,13,26,12,29,26,40,49,69,17,23,62,68,1,74
21,12,14,45,13,40,24,50,44,72,46,38,53,59,1,74
18,12,20,24,22,20,16,18,44,67,30,15,37,58,1,74
64,75,69,62,47,55,73,75,78,61,79,82,72,72,1,74
51,73,72,70,28,53,71,79,69,71,68,68,73,71,1,74
70,56,76,70,37,72,71,69,65,75,67,75,70,66,1,74
60,74,75,66,56,58,73,75,71,75,73,69,68,73,1,74
47,76,75,64,42,41,73,81,65,73,75,65,60,70,1,74
50,39,73,73,50,69,73,39,56,73,70,77,69,66,1,74
73,73,57,71,73,69,75,88,71,70,88,74,66,67,1,74
64,78,59,69,64,60,74,83,80,73,72,69,70,72,1,74
12,11,13,25,12,29,25,41,44,70,16,24,27,61,1,74
80,65,59,79,78,76,76,68,71,72,71,72,72,73,1,74
36,43,90,60,62,66,40,34,32,63,76,61,54,55,1,74
65,67,65,72,46,61,80,77,75,73,68,66,71,72,1,74
75,67,49,73,70,72,76,77,79,69,70,66,70,66,1,74
58,61,64,76,59,75,74,54,59,79,79,72,73,77,1,74
76,66,67,78,73,71,73,62,66,74,70,76,80,73,1,74
56,77,66,62,67,57,74,81,90,75,76,72,66,76,1,74
61,75,78,68,58,61,68,74,67,72,72,77,69,69,1,74
65,73,46,71,65,66,75,69,88,68,68,53,66,72,0,74
59,76,66,65,59,49,74,80,80,70,77,76,68,72,1,74
76,60,47,70,61,62,75,90,84,67,70,79,62,63,1,74
20,18,15,31,12,24,20,42,32,59,18,35,48,67,1,74
74,56,62,67,56,67,76,83,71,65,62,81,51,76,0,74
64,74,59,73,65,60,78,76,92,72,75,75,74,71,1,74
67,60,71,80,54,71,73,68,73,76,74,90,69,76,1,74
60,42,71,71,45,66,71,60,67,72,69,76,70,77,1,74
60,81,83,68,31,43,69,65,72,78,59,65,72,65,1,74
55,27,76,74,31,75,65,75,49,72,44,69,53,69,0,74
59,46,64,76,54,66,70,49,72,73,68,88,66,66,1,74
55,39,75,59,48,61,62,60,67,66,35,69,50,66,1,74
67,68,58,71,69,64,70,85,94,74,74,71,74,70,1,74
47,36,75,72,58,53,70,60,63,73,55,66,44,65,1,74
74,59,38,75,70,68,85,70,78,72,55,64,80,77,0,74
38,43,74,67,26,60,65,70,65,70,70,69,48,69,1,74
77,49,59,70,68,62,72,71,62,73,72,81,44,65,0,74
